hid,title,type,rating,origination,read,last_read,synonyms,mal,anilist,mangaupdates
Eh_d9FYC,"Shangri-La Frontier ~Kusoge Hunter, Kami-gee ni Idoman to su~",Reading,0,Manga,,0000-00-00,"Рубеж Шангри-Ла: любитель игрошлака бросает вызов топ игре,香格里拉・開拓異境～糞作獵手挑戰神作～,Shangri-La Frontier - o caçador de jogos ruins experimenta um jogo Divino.,Shanfro,Shanfuro,Shangri-La Frontier ~เมื่อนักล่าเกมขยะท้าสู้ในเกมเทพ~,Shangrila Frontier,シャングリラ・フロンティア〜クソゲーハンター、神ゲーに挑まんとす〜,シャンフロ,香格里拉・開拓異境~糞作獵手挑戰神作~,샹그릴라 프론티어,Shangri-La Frontier,Shangri-La Frontier: From Trash-Game Hunter to God-Tier Game Master!,シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～",https://myanimelist.net/manga/130331,https://anilist.co/manga/122063,https://www.mangaupdates.com/series/qpff7if
EeLTPGL8,Fighting Ward,Reading,0,Manhwa,,0000-00-00,"Combat Ward,格闘病棟,격투병동",,https://anilist.co/manga/189361,https://www.mangaupdates.com/series/n3j4w7z
Q4APGjG4,Noblesse,Reading,0,Manhwa,11,2025-06-13,"Kaum bangsawan,Дворянство,النبلاء,大貴族,大贵族,노블레스,Благородство,Ноблесс,नोब्लेस,ノブレス",https://myanimelist.net/manga/29983,https://anilist.co/manga/59983,https://www.mangaupdates.com/series/snvji36
28MLfbCC,Supremely Talented Player,Reading,0,Manhwa,82,2025-07-09,"미친 재능의 플레이어,Le joueur au talent incroyable,爆走天才玩家,Jugador de talento insano,Insanely Talented Player,Crazy Talented Player,Insanely-Talented Player,绝世天才玩家,チート級才能のプレイヤー",https://myanimelist.net/manga/164724,https://anilist.co/manga/170163,https://www.mangaupdates.com/series/4xrobw4
p4ITS4w2,SSS-Class Revival Hunter,Reading,0,Manhwa,144,2025-07-11,"SSS급 자살헌터,SSS級死而復生的獵人,死して生きるSSS級ハンター,SSS급 죽어야 사는 헌터,นักล่าพลีชีพ ระดับ SSS,Thợ Săn Tự Sát Cấp SSS,VANATORUL DE REINVIERE CLASA SSS,VANATORUL DE SINUCIDERE SSS,SSS-geup Jugeoya Saneun Hunter,SSS-Class Suicide Hunter",https://myanimelist.net/manga/146909,https://anilist.co/manga/128067,https://www.mangaupdates.com/series/7v63sfr
a9cBQ2ob,Nebula's Civilization,Reading,0,Manhwa,2,2025-07-12,"The Nebula's Civilization,Le sage destin de la civilisation,La vie de la civilisation sage,슬기로운 문명생활,ნებულას ცივილიზაცია,A Civilização da Nebulosa,Seulgiroun Munmyeongsaenghwal,Цивилизация мудрецов,为智慧文明生活而来",https://myanimelist.net/manga/165175,https://anilist.co/manga/174515,https://www.mangaupdates.com/series/ep7zp35
yDm32aOJ,The Beginning After the End,Reading,0,,225.5,2025-07-04,"O começo após o final,O começo depois do fim,TBATE,三岁开始做王者,最強の王様、二度目の人生は何をする？,끝이 아닌 시작,Начало после конца,El comienzo después del fin,آغاز پس از پایان,সমাপ্তির পর সূচনা,Початок після кінця,La Vida Después de la Muerte,Oxiridan Keyingi Boshlanish",,,https://www.mangaupdates.com/series/rwg23en
pTueUPIe,SSS-Class Revival Hunter (Book Version),Reading,0,Manhwa,20,2025-06-30,"死して生きるSSS級ハンター,Cazador Suicida de Clase SSS,SSS 級自殺 Hunter,SSS-Class Suicide Hunter,SSS-geup Jugeoya Saneun Hunter,SSS級死而復生的獵人,SSS级复兴猎人,SSS级自杀猎人,SSS级重生猎人,SSS급 죽어야 사는 헌터,Thợ Săn Tự Sát Cấp SSS,شکارچی با مهارت خودکشی سطح SSS,นักล่าพลีชีพ ระดับ SSS,死して生きるSSS級ハンター,SSS-Class Revival Hunter,SSS-Class Revival Hunter,Cazador Suicida de Clase SSS,SSS 級自殺 Hunter,SSS-Class Suicide Hunter,SSS-geup Jugeoya Saneun Hunter,SSS級死而復生的獵人,SSS级重生猎人,SSS급 죽어야 사는 헌터,شکارچی با مهارت خودکشی سطح SSS,นักล่าพลีชีพ ระดับ SSS,SSS级复兴猎人,SSS级自杀猎人",,,https://www.mangaupdates.com/series/7v63sfr
oaIJwyZv,Zhè Yí Shì Wǒ Yào Dāng Zhì Zūn,Reading,0,Manhua,382,2025-07-26,"万古至尊,The Ancient Sovereign of Eternity,The Eternal Supreme,The Ultimate of All Ages,Ancient One,Eternal Deity,Eternal Supreme,Everlasting Supreme,The Ancient One,二度目の人生俺は至尊になる,만고지존,Rebirth of the Ultimate Master,Eternal Deity,這一世我要當至尊,这一世我要当至尊,Vạn Cổ Chí Tôn,O Antigo Soberano da Eternidade,Ancient One,Eternal Supreme,Everlasting Supreme,The Ancient One,二度目の人生俺は至尊になる,만고지존,Still Supreme in My Second Life",,https://anilist.co/manga/138726,https://www.mangaupdates.com/series/l4ho1jh
xB8MSvtf,Infinite Mage,Reading,0,Manhwa,128,2025-07-23,"무한의 마법사,Infinite Wizard,Muhanui Mabeopsa,Infinite Mage,Mago do infinito,El mago infinito,จอมเวทไร้ขีดจำกัด,无限魔法师,無限の魔法使い,無限魔法師,Đại Pháp Sư Toàn Năng,The Infinite Mage",https://myanimelist.net/manga/154692,https://anilist.co/manga/159930,https://www.mangaupdates.com/series/ev4ygbg
